Date;crédits/dépôts;cours/valeur banques;rentabilité capitaux propres;rentabilité actifs;actifs bancaires consolidés;actifs des GSIB;inflation;Balance budgétaire Fr;Solde des transactions courantes Fr;CAC total return index;Eurostoxx total return index;CAC index;Eurostoxx Index;CAC financier;CAC biens consommation;CAC pétrole/gaz;Levier bancaire
01/01/2000;NA;NA;NA;NA;NA;NA;1.7;-1.5;1.41;NA;NA;NA;NA;692.4;980.46;581.36;NA
01/01/2001;NA;NA;NA;NA;NA;NA;1.3;-1.5;1.71;8369.56;990.88;5823.41;4727.71;817.72;898.07;710.56;NA
01/01/2002;NA;NA;NA;NA;NA;NA;2.4;-3.1;1.21;6623.75;786.57;4513.99;3684.86;697.27;736.25;730.92;NA
01/01/2003;NA;NA;NA;NA;NA;NA;1.9;-4.1;0.7;4584.13;520.22;3040.32;2376.97;544.71;630.29;593.82;NA
01/01/2004;NA;NA;NA;NA;NA;NA;2.2;-3.6;0.53;5661.31;639.67;3636.94;2842.86;707.51;830.95;670.41;NA
01/01/2005;NA;177.4313816;NA;NA;NA;0.829353099;1.6;-2.9;-0.47;6236.83;685.62;3862.98;2957.03;793.55;863.93;758.27;NA
01/01/2006;NA;193.54903205;0.15780705;0.60462502;NA;0.785448405;2.2;-2.3;-0.56;8015.93;868.4;4839.68;3626.94;1061.91;1048.55;1043.09;NA
01/01/2007;1.275024205;168.01989425;0.097673291;0.377526149;NA;0.7773118;1.4;-2.5;-0.97;9517.08;1028.48;5586.99;4159.51;1343.63;1265.81;1009.13;NA
01/01/2008;1.292769882;69.37856894;0.059166939;0.20397653;NA;0.781674954;3.2;-3.2;-1.69;9027.13;1029.09;5153.57;4025.83;1003.48;1193.55;1036.63;NA
01/01/2009;1.261763316;103.8247982;0.053638969;0.197550382;939838.505;0.811450566;0.8;-7.2;-0.41;5652.19;625.9;3099.68;2340.04;459.44;716.4;721.65;3.46385961675
01/01/2010;1.260909417;80.01257053;0.083324405;0.361797328;957093.642857143;0.812712675;1.2;-6.9;-0.51;7463.81;819.29;3925.23;2922.72;700.23;993.34;854.95;3.71289454425
01/01/2011;1.260655278;42.28748219;0.052248853;0.231810301;997533.243857143;0.814752617;2;-5.2;-0.58;7834.79;847.51;3960.71;2900.69;662.13;1219.51;838.23;3.59017301475
01/01/2012;1.201270859;58.86860905;0.025886984;0.12283308;994329.330714286;0.807378076;2.6;-5;-0.69;6705.99;729.27;3250.61;2382.07;421.53;1189.85;800.26;3.89986805375
01/01/2013;1.140099916;80.950295305;0.056369977;0.255762812;960717.229428571;0.815847539;1.4;-4.1;-0.28;8047.67;873.44;3733.97;2715.3;581.41;1414.48;806.59;4.21006854375
01/01/2014;1.132665127;66.701931635;0.043679386;0.214269656;1044297.52271429;0.8214118;0.8;-3.9;-1.02;9484.48;1034.41;4248.4;3092.4;758.12;1516.61;846.88;4.1172538795
01/01/2015;1.111975949;70.50455625;0.068141324;0.333583732;1024039.72528571;0.818647607;-0.4;-3.6;-0.43;10111.66;1112.19;4386.14;3207.26;746.76;1754.69;806.37;4.5654588655
01/01/2016;1.092966948;76.65138079;0.066640519;0.340163537;1060421.24314286;0.818701218;0.3;-3.5;-0.56;10320.79;1085.49;4340.1;3030.5;757.1;1888.84;709.15;4.6525713975
01/01/2017;1.097669788;75.346562215;0.06228734;0.334624253;1043411.28242857;0.816836086;1.6;-2.8;-0.75;12009.84;1228.84;4863.61;3298.77;874.33;2239.17;890.21;4.83400583475
01/01/2018;1.132910955;47.928485335;0.067040442;0.35758999;1083549.02442857;0.817621682;1.5;-2.5;-0.66;13969.03;1390.28;5482.95;3612.16;1010.42;2724.31;879.66;4.78982670225
01/01/2019;NA;NA;NA;NA;NA;NA;1.4;NA;NA;12695.05;1232.17;4822.67;3088.65;735.59;2649.38;849.5;NA
01/04/2000;NA;NA;NA;NA;NA;NA;1.3;NA;NA;NA;NA;NA;NA;749.44;967.38;724.54;NA
01/04/2001;NA;NA;NA;NA;NA;NA;2;NA;NA;7681.31;904.52;5343.98;4304.43;782.49;866.77;744.79;NA
01/04/2002;NA;NA;NA;NA;NA;NA;2.1;NA;NA;6641.73;781.84;4523.19;3652.64;764.54;859.27;794.32;NA
01/04/2003;NA;NA;NA;NA;NA;NA;2;NA;NA;4339.11;500.16;2872.54;2273.68;537.2;584.76;564.89;NA
01/04/2004;NA;NA;NA;NA;NA;NA;2.4;NA;NA;5831.42;646.28;3745.16;2861.06;733.27;874.43;732.89;NA
01/04/2005;NA;NA;NA;NA;NA;NA;2;NA;NA;6505.24;702.66;4027.66;3013.75;813.69;897.56;835.53;NA
01/04/2006;NA;NA;NA;NA;NA;NA;2;NA;NA;8593.8;922.76;5188.57;3840.68;1187.62;1155.9;1059.79;NA
01/04/2007;NA;NA;NA;NA;NA;NA;1.3;NA;NA;9937.82;1075.74;5831.8;4336.98;1367.53;1367.35;1041.13;NA
01/04/2008;NA;NA;NA;NA;NA;NA;3.4;NA;NA;8596.12;967.29;4900.19;3768.1;963.7;1141.41;986.73;NA
01/04/2009;NA;NA;NA;NA;NA;NA;0.1;NA;NA;5496.2;607.11;3007.2;2257.1;485.4;715.31;699;NA
01/04/2010;NA;NA;NA;NA;NA;NA;1.9;NA;NA;7557.63;825.82;3973.7;2937.3;694;1040.28;849.69;NA
01/04/2011;NA;NA;NA;NA;NA;NA;2.2;NA;NA;7955.79;864.59;4020.28;2947.16;686.15;1206.9;851.09;NA
01/04/2012;NA;NA;NA;NA;NA;NA;2.4;NA;NA;6720.98;721.42;3248.81;2340.78;423.8;1293.56;759.39;NA
01/04/2013;NA;NA;NA;NA;NA;NA;0.8;NA;NA;8071.18;852.98;3735.1;2636.35;558.81;1477.57;754.28;NA
01/04/2014;NA;NA;NA;NA;NA;NA;0.8;NA;NA;9929.37;1066.14;4437.29;3171.53;778.99;1607.72;949.48;NA
01/04/2015;NA;NA;NA;NA;NA;NA;0.1;NA;NA;11960.7;1301.2;5173.4;3733.8;905.49;2124.59;908.47;NA
01/04/2016;NA;NA;NA;NA;NA;NA;-0.1;NA;NA;10614.38;1091.72;4445.22;3031.18;757.26;1973.34;771.21;NA
01/04/2017;NA;NA;NA;NA;NA;NA;1.4;NA;NA;12717.13;1308.4;5134.55;3491.83;899.22;2436.85;879.75;NA
01/04/2018;NA;NA;NA;NA;NA;NA;1.8;NA;NA;13666.06;1339.15;5345.32;3457.62;944.49;2874.52;907.94;NA
01/04/2019;NA;NA;NA;NA;NA;NA;1.5;NA;NA;14559.32;1388.5;5511.37;3458.76;819.82;3216.43;906.51;NA
01/07/2000;NA;NA;NA;NA;NA;NA;1.9;NA;NA;NA;NA;NA;NA;814.64;988.44;741.52;NA
01/07/2001;NA;NA;NA;NA;NA;NA;2.2;NA;NA;7324.6;859.07;4993.26;4037.83;791.39;845.46;739.71;NA
01/07/2002;NA;NA;NA;NA;NA;NA;1.6;NA;NA;5233.49;611.75;3471.87;2810.65;605.79;711.13;686.35;NA
01/07/2003;NA;NA;NA;NA;NA;NA;2;NA;NA;4871.17;550.68;3130.06;2459.85;597.5;704.15;604.65;NA
01/07/2004;NA;NA;NA;NA;NA;NA;2.6;NA;NA;5837.03;629.49;3630.41;2730.37;693.44;862;738.08;NA
01/07/2005;NA;NA;NA;NA;NA;NA;1.8;NA;NA;7203.08;777.91;4359.47;3267.1;878.41;986.6;958.41;NA
01/07/2006;NA;NA;NA;NA;NA;NA;2.2;NA;NA;8340.66;888.4;4910.61;3617.33;1124.73;1103.36;990.61;NA
01/07/2007;NA;NA;NA;NA;NA;NA;1.2;NA;NA;10426.15;1129.97;5973.49;4449.03;1315.98;1400.81;1170.21;NA
01/07/2008;NA;NA;NA;NA;NA;NA;4;NA;NA;7738.05;872.14;4287.19;3298.66;754.43;946.75;958.37;NA
01/07/2009;NA;NA;NA;NA;NA;NA;-0.8;NA;NA;6058.34;684.04;3211.98;2462.09;568.23;772.13;733.62;NA
01/07/2010;NA;NA;NA;NA;NA;NA;1.9;NA;NA;6944.61;772.36;3539.3;2669.5;599.99;1058.44;739.06;NA
01/07/2011;NA;NA;NA;NA;NA;NA;2.1;NA;NA;7794.6;829.07;3817.88;2743.46;619.75;1299.07;793.32;NA
01/07/2012;NA;NA;NA;NA;NA;NA;2.2;NA;NA;6833.89;719.8;3199.55;2258.36;402.26;1258.34;745.23;NA
01/07/2013;NA;NA;NA;NA;NA;NA;1.2;NA;NA;8597.03;891.31;3876.56;2686.53;604.79;1523.17;790.52;NA
01/07/2014;NA;NA;NA;NA;NA;NA;0.6;NA;NA;9998.4;1098.09;4362.04;3192.31;732.54;1627.34;980.33;NA
01/07/2015;NA;NA;NA;NA;NA;NA;0.2;NA;NA;11722.32;1261.33;4956.23;3545.1;870.46;2074.88;823.64;NA
01/07/2016;NA;NA;NA;NA;NA;NA;0.4;NA;NA;10604.28;1079.75;4317.64;2919.08;684.44;1998.92;788.25;NA
01/07/2017;NA;NA;NA;NA;NA;NA;0.8;NA;NA;13123.98;1333.01;5174.99;3483.89;972.42;2497.24;796.17;NA
01/07/2018;NA;NA;NA;NA;NA;NA;2.6;NA;NA;14162.5;1371.16;5409.37;3460.89;858.74;2945.57;974.15;NA
